514	Donnie Brasco (1997)
230	Under Siege (1992)
733	Night Falls on Manhattan (1997)
137	Blade Runner (1982)
429	Assassins (1995)
292	East of Eden (1955)
1	Dead Poets Society (1989)
178	Young Guns (1988)
393	Supercop (1992)
929	It's a Wonderful Life (1946)
429	Nick of Time (1995)
661	Contact (1997)
135	Kiss of Death (1995)
308	Belle de jour (1967)
655	Butch Cassidy and the Sundance Kid (1969)
90	Dead Poets Society (1989)
272	Scream (1996)
894	Peacemaker, The (1997)
215	Sleepless in Seattle (1993)
207	River Wild, The (1994)
606	Affair to Remember, An (1957)
246	Six Degrees of Separation (1993)
524	Body Snatchers (1993)
642	Blues Brothers, The (1980)
601	Mark of Zorro, The (1940)
191	Devil's Advocate, The (1997)
22	Beverly Hills Ninja (1997)
13	Money Talks (1997)
609	Contact (1997)
454	Air Force One (1997)
188	Pulp Fiction (1994)
327	Full Monty, The (1997)
304	Jerry Maguire (1996)
116	It Happened One Night (1934)
542	Wag the Dog (1997)
256	Die Hard 2 (1990)
851	Cop Land (1997)
5	Mighty Morphin Power Rangers: The Movie (1995)
916	Seventh Seal, The (Sjunde inseglet, Det) (1957)
708	Hercules (1997)
795	Forget Paris (1995)
532	American President, The (1995)
943	Nine Months (1995)
792	Courage Under Fire (1996)
512	Dances with Wolves (1990)
291	Reservoir Dogs (1992)
255	Happy Gilmore (1996)
49	Tales from the Crypt Presents: Bordello of Blood (1996)
11	Star Trek: First Contact (1996)
561	Breakfast at Tiffany's (1961)
326	Winnie the Pooh and the Blustery Day (1968)
234	Bonnie and Clyde (1967)
327	Rumble in the Bronx (1995)
371	Dances with Wolves (1990)
593	Raising Arizona (1987)
671	Tough and Deadly (1995)
537	Once Were Warriors (1994)
160	Top Gun (1986)
41	Raising Arizona (1987)
498	Flirt (1995)
640	Die Hard 2 (1990)
320	Celtic Pride (1996)
153	Godfather, The (1972)
847	In the Name of the Father (1993)
611	Mrs. Brown (Her Majesty, Mrs. Brown) (1997)
354	Persuasion (1995)
796	Devil's Own, The (1997)
667	Schindler's List (1993)
505	Back to the Future (1985)
729	Rainmaker, The (1997)
303	Taxi Driver (1976)
665	Terminator 2: Judgment Day (1991)
862	Three Colors: Blue (1993)
92	Mixed Nuts (1994)
934	Sleeper (1973)
383	It Happened One Night (1934)
567	Starship Troopers (1997)
851	Tomorrow Never Dies (1997)
483	In Love and War (1996)
524	Tomorrow Never Dies (1997)
225	Jerry Maguire (1996)
91	Star Trek IV: The Voyage Home (1986)
59	Interview with the Vampire (1994)
100	Scream (1996)
435	Desperado (1995)
269	Ed Wood (1994)
292	Cat on a Hot Tin Roof (1958)
634	James and the Giant Peach (1996)
194	Local Hero (1983)
350	Casablanca (1942)
861	Everyone Says I Love You (1996)
663	Executive Decision (1996)
6	Twelve Monkeys (1995)
409	Kull the Conqueror (1997)
912	Streetcar Named Desire, A (1951)
94	William Shakespeare's Romeo and Juliet (1996)
313	Gandhi (1982)
679	Raiders of the Lost Ark (1981)
734	It's a Wonderful Life (1946)
216	Schindler's List (1993)
535	Babe (1995)
889	Rock, The (1996)
389	Looking for Richard (1996)
642	Shaggy Dog, The (1959)
18	Mr. Holland's Opus (1995)
716	Great Escape, The (1963)
782	Anastasia (1997)
767	Godfather: Part II, The (1974)
181	Funeral, The (1996)
637	101 Dalmatians (1996)
226	People vs. Larry Flynt, The (1996)
840	Annie Hall (1977)
291	Getaway, The (1994)
346	Silence of the Lambs, The (1991)
303	Maltese Falcon, The (1941)
575	Rear Window (1954)
828	Kundun (1997)
798	Star Trek: The Wrath of Khan (1982)
634	Contact (1997)
43	L.A. Confidential (1997)
561	Duck Soup (1933)
109	Judge Dredd (1995)
655	Brazil (1985)
11	Shadowlands (1993)
749	Aliens (1986)
498	Muriel's Wedding (1994)
699	Smilla's Sense of Snow (1997)
756	Long Kiss Goodnight, The (1996)
506	Clear and Present Danger (1994)
642	While You Were Sleeping (1995)
11	Tomorrow Never Dies (1997)
158	Clueless (1995)
543	Speechless (1994)
939	Glimmer Man, The (1996)
508	This Is Spinal Tap (1984)
429	Rudy (1993)
59	Star Trek: Generations (1994)
11	Rosencrantz and Guildenstern Are Dead (1990)
749	Army of Darkness (1993)
167	Old Man and the Sea, The (1958)
334	Ridicule (1996)
92	Hot Shots! Part Deux (1993)
498	Menace II Society (1993)
823	Braveheart (1995)
880	Clockers (1995)
450	Great Escape, The (1963)
345	Top Gun (1986)
896	Pretty Woman (1990)
870	Grifters, The (1990)
416	Pocahontas (1995)
49	Stealing Beauty (1996)
83	Last Action Hero (1993)
6	Big Night (1996)
716	Father of the Bride (1950)
436	Blues Brothers, The (1980)
297	Much Ado About Nothing (1993)
